id клиента;дата создания;оценка заказа
1754426;2020-12-15 23:59:00;5
2374089;2020-12-15 23:59:00;5
523473;2020-12-15 23:58:00;3
2202841;2020-12-15 23:58:00;2
438709;2020-12-15 23:57:00;4
438709;2020-12-15 23:57:00;4
1778347;2020-12-15 23:56:00;5
2169320;2020-12-15 23:56:00;5
2357971;2020-12-15 23:56:00;5
1689677;2020-12-15 23:55:00;3
1145911;2020-12-15 23:54:00;5
807540;2020-12-15 23:54:00;5
2029630;2020-12-15 23:54:00;5
1746708;2020-12-15 23:53:00;5
705188;2020-12-15 23:53:00;5
1296713;2020-12-15 23:52:00;5
362449;2020-12-15 23:52:00;5
2182224;2020-12-15 23:51:00;5
1337351;2020-12-15 23:50:00;5
1022277;2020-12-15 23:48:00;5
2358216;2020-12-15 23:47:00;4
2382203;2020-12-15 23:46:00;5
783193;2020-12-15 23:45:00;5
438439;2020-12-15 23:45:00;5
2082142;2020-12-15 23:44:00;5
1287132;2020-12-15 23:44:00;5
2061596;2020-12-15 23:44:00;5
2174821;2020-12-15 23:43:00;5
1245872;2020-12-15 23:42:00;5
1451356;2020-12-15 23:40:00;5
1838261;2020-12-15 23:39:00;5
1600010;2020-12-15 23:37:00;3
328355;2020-12-15 23:37:00;5
328355;2020-12-15 23:37:00;5
2376944;2020-12-15 23:36:00;5
1566484;2020-12-15 23:36:00;5
2380866;2020-12-15 23:35:00;5
1548464;2020-12-15 23:35:00;5
2345114;2020-12-15 23:35:00;1
888693;2020-12-15 23:35:00;5
888693;2020-12-15 23:35:00;5
1503067;2020-12-15 23:33:00;5
1978653;2020-12-15 23:33:00;5
599005;2020-12-15 23:33:00;5
942894;2020-12-15 23:33:00;5
1010137;2020-12-15 23:33:00;5
1010137;2020-12-15 23:33:00;5
181222;2020-12-15 23:32:00;4
1707926;2020-12-15 23:32:00;3
2134696;2020-12-15 23:30:00;5
2297195;2020-12-15 23:29:00;5
2297195;2020-12-15 23:29:00;5
1834986;2020-12-15 23:29:00;5
2061507;2020-12-15 23:29:00;5
2297195;2020-12-15 23:29:00;4
522342;2020-12-15 23:28:00;5
2252704;2020-12-15 23:27:00;5
957147;2020-12-15 23:26:00;5
1732270;2020-12-15 23:26:00;4
2173411;2020-12-15 23:22:00;5
2173411;2020-12-15 23:22:00;5
2354064;2020-12-15 23:22:00;4
1146904;2020-12-15 23:22:00;5
1830563;2020-12-15 23:21:00;5
1668111;2020-12-15 23:21:00;5
2368428;2020-12-15 23:21:00;5
2357595;2020-12-15 23:20:00;5
2381615;2020-12-15 23:20:00;5
2152795;2020-12-15 23:19:00;5
2022044;2020-12-15 23:19:00;5
326014;2020-12-15 23:18:00;5
1021081;2020-12-15 23:18:00;5
2171488;2020-12-15 23:17:00;5
2382901;2020-12-15 23:16:00;5
2372936;2020-12-15 23:15:00;5
2372936;2020-12-15 23:15:00;5
2340003;2020-12-15 23:13:00;5
346385;2020-12-15 23:03:00;5
682949;2020-12-15 23:02:00;5
2219340;2020-12-15 23:02:00;5
2240922;2020-12-15 23:01:00;5
2078781;2020-12-15 22:59:00;5
2382648;2020-12-15 22:59:00;5
438485;2020-12-15 22:58:00;5
1967974;2020-12-15 22:58:00;5
1955103;2020-12-15 22:58:00;5
2181498;2020-12-15 22:57:00;5
1908889;2020-12-15 22:56:00;1
1761362;2020-12-15 22:56:00;5
1448877;2020-12-15 22:56:00;5
2382587;2020-12-15 22:56:00;5
2382587;2020-12-15 22:56:00;5
2336734;2020-12-15 22:55:00;5
2336734;2020-12-15 22:55:00;5
2356255;2020-12-15 22:55:00;5
2377454;2020-12-15 22:55:00;5
2382836;2020-12-15 22:54:00;5
1824378;2020-12-15 22:54:00;5
941296;2020-12-15 22:53:00;1
